Price per area,Apartment type,Metro station,Minutes to metro,Region,Number of rooms,Area,Living area,Kitchen area,Floor,Number of floors,Renovation
308168,Secondary, Пенягино,16.0,Moscow region,2.0,40.4,22.6,10.0,42.0,44,Designer
181694,Secondary, Опалиха,12.0,Moscow region,2.0,73.2,27.8,20.8,8.0,9,European-style renovation
320000,Secondary, Пенягино,16.0,Moscow region,2.0,43.0,23.9,10.2,20.0,45,Designer
172500,Secondary, Аникеевка,7.0,Moscow region,2.0,80.0,41.0,14.0,13.0,24,European-style renovation
241667,Secondary, Мякинино,26.0,Moscow region,2.0,60.0,36.0,14.0,14.0,25,Designer
223077,Secondary, Пенягино,6.0,Moscow region,2.0,65.0,34.0,14.0,10.0,26,European-style renovation
216582,Secondary, Мякинино,20.0,Moscow region,2.0,71.1,33.7,15.0,2.0,22,European-style renovation
191515,Secondary, Мякинино,14.0,Moscow region,2.0,82.5,41.0,22.0,15.0,24,European-style renovation
218579,Secondary, Мякинино,16.0,Moscow region,2.0,73.2,46.0,16.0,20.0,20,Cosmetic
135366,Secondary, Опалиха,7.0,Moscow region,2.0,41.0,28.0,5.0,2.0,2,Cosmetic
149083,Secondary, Опалиха,16.0,Moscow region,2.0,43.6,25.7,6.0,4.0,4,Cosmetic
198198,Secondary, Опалиха,4.0,Moscow region,2.0,33.3,15.8,8.0,2.0,8,Cosmetic
154444,Secondary, Красногорская,7.0,Moscow region,2.0,45.0,28.0,6.0,4.0,5,Cosmetic
176683,Secondary, Павшино,11.0,Moscow region,2.0,41.6,6.0,10.1,4.0,5,Cosmetic
176056,Secondary, Опалиха,12.0,Moscow region,2.0,42.6,29.0,10.2,8.0,12,Without renovation
159574,Secondary, Павшино,20.0,Moscow region,2.0,47.0,20.0,10.0,11.0,25,Without renovation
183333,Secondary, Красногорская,4.0,Moscow region,2.0,42.0,28.6,6.0,5.0,5,Cosmetic
172646,Secondary, Митино,8.0,Moscow region,2.0,44.6,32.0,6.0,1.0,4,Cosmetic
205263,Secondary, Опалиха,6.0,Moscow region,2.0,38.0,20.0,8.0,4.0,26,Designer
160000,Secondary, Опалиха,6.0,Moscow region,2.0,50.0,27.4,10.8,8.0,9,Cosmetic
177778,Secondary, Красногорская,13.0,Moscow region,2.0,45.0,6.0,10.4,4.0,5,European-style renovation
189498,Secondary, Павшино,5.0,Moscow region,2.0,43.8,28.0,8.0,9.0,9,Cosmetic
179325,Secondary, Красногорская,7.0,Moscow region,2.0,47.4,31.2,8.9,6.0,12,Without renovation
200466,Secondary, Павшино,10.0,Moscow region,2.0,42.9,26.8,5.9,1.0,5,Cosmetic
172000,Secondary, Красногорская,7.0,Moscow region,2.0,50.0,14.0,21.0,3.0,14,Cosmetic
194318,Secondary, Опалиха,2.0,Moscow region,2.0,44.0,11.0,23.0,1.0,8,Without renovation
168605,Secondary, Красногорская,6.0,Moscow region,2.0,51.6,30.0,9.0,5.0,9,Cosmetic
163858,Secondary, Опалиха,5.0,Moscow region,2.0,53.4,30.5,9.0,2.0,5,Cosmetic
184156,Secondary, Опалиха,6.0,Moscow region,2.0,48.6,27.0,10.0,15.0,26,Cosmetic
166667,Secondary, Опалиха,5.0,Moscow region,2.0,54.0,30.0,9.0,6.0,9,Cosmetic
212911,Secondary, Пенягино,18.0,Moscow region,2.0,42.6,10.5,10.2,1.0,45,European-style renovation
149000,Secondary, Аникеевка,3.0,Moscow region,2.0,60.9,34.2,14.0,1.0,3,Without renovation
